item sound pos
1 STD 2
2 STD 3
3 STD 4
68 DEV 5
5 STD 2
29 STD 2
28 STD 5
27 STD 4
35 STD 4
71 DEV 4
18 STD 3
58 DEV 3
40 STD 5
13 STD 2
46 DEV 3
62 DEV 3
57 DEV 2
15 STD 4
70 DEV 3
65 DEV 2
75 DEV 4
78 DEV 3
19 STD 4
60 DEV 5
77 DEV 2
63 DEV 4
55 DEV 4
11 STD 4
64 DEV 5
54 DEV 3
4 STD 5
43 DEV 4
76 DEV 5
8 STD 5
79 DEV 4
49 DEV 2
10 STD 3
6 STD 3
23 STD 4
16 STD 5
31 STD 4
50 DEV 3
37 STD 2
36 STD 5
9 STD 2
52 DEV 5
24 STD 5
61 DEV 2
80 DEV 5
47 DEV 4
59 DEV 4
72 DEV 5
20 STD 5
26 STD 3
17 STD 2
67 DEV 4
53 DEV 2
66 DEV 3
12 STD 5
44 DEV 5
30 STD 3
56 DEV 5
32 STD 5
51 DEV 4
45 DEV 2
41 DEV 2
38 STD 3
25 STD 2
73 DEV 2
14 STD 3
39 STD 4
21 STD 2
48 DEV 5
7 STD 4
22 STD 3
33 STD 2
74 DEV 3
34 STD 3
42 DEV 3
69 DEV 2
115 SLC 4
119 SLC 4
110 SLC 3
99 SLC 4
105 SLC 2
103 SLC 4
88 SLC 5
102 SLC 3
118 SLC 3
89 SLC 2
84 SLC 5
95 SLC 4
107 SLC 4
83 SLC 4
104 SLC 5
120 SLC 5
97 SLC 2
111 SLC 4
109 SLC 2
116 SLC 5
108 SLC 5
101 SLC 2
85 SLC 2
114 SLC 3
82 SLC 3
81 SLC 2
106 SLC 3
94 SLC 3
90 SLC 3
91 SLC 4
87 SLC 4
117 SLC 2
92 SLC 5
86 SLC 3
98 SLC 3
96 SLC 5
93 SLC 2
112 SLC 5
113 SLC 2
100 SLC 5
