item sound pos
123 PRAC 1
121 PRAC 1
122 PRAC 1
126 PRAC 1
125 PRAC 1
124 PRAC 1
81 STD 3
82 STD 4
83 STD 5
31 DEV 5
36 DEV 2
16 DEV 2
107 STD 5
26 DEV 4
94 STD 4
108 STD 2
96 STD 2
84 STD 2
28 DEV 2
7 DEV 5
115 STD 5
99 STD 5
110 STD 4
114 STD 4
14 DEV 4
29 DEV 3
5 DEV 3
4 DEV 2
37 DEV 3
38 DEV 4
10 DEV 4
85 STD 3
27 DEV 5
119 STD 5
32 DEV 2
106 STD 4
111 STD 5
97 STD 3
15 DEV 5
92 STD 2
8 DEV 2
102 STD 4
90 STD 4
30 DEV 4
11 DEV 5
35 DEV 5
23 DEV 5
116 STD 2
86 STD 4
118 STD 4
6 DEV 4
113 STD 3
22 DEV 4
117 STD 3
109 STD 3
93 STD 3
103 STD 5
24 DEV 2
34 DEV 4
18 DEV 4
19 DEV 5
101 STD 3
40 DEV 2
95 STD 5
104 STD 2
88 STD 2
3 DEV 5
9 DEV 3
91 STD 5
13 DEV 3
21 DEV 3
20 DEV 2
112 STD 2
17 DEV 3
98 STD 4
87 STD 5
89 STD 3
120 STD 2
100 STD 2
39 DEV 5
12 DEV 2
1 DEV 3
25 DEV 3
33 DEV 3
2 DEV 4
105 STD 3
63 SLC 5
51 SLC 5
47 SLC 5
61 SLC 3
64 SLC 2
49 SLC 3
43 SLC 5
78 SLC 4
79 SLC 5
45 SLC 3
44 SLC 2
53 SLC 3
62 SLC 4
60 SLC 2
80 SLC 2
46 SLC 4
41 SLC 3
56 SLC 2
59 SLC 5
73 SLC 3
65 SLC 3
58 SLC 4
57 SLC 3
50 SLC 4
42 SLC 4
67 SLC 5
55 SLC 5
66 SLC 4
76 SLC 2
75 SLC 5
71 SLC 5
52 SLC 2
48 SLC 2
70 SLC 4
69 SLC 3
68 SLC 2
77 SLC 3
74 SLC 4
72 SLC 2
54 SLC 4
