item sound diff
27 Silence difficult
28 Silence difficult
2 Mandarin difficult
1 Mandarin difficult
3 Mandarin difficult
6 English difficult
5 English difficult
4 English difficult
9 Silence difficult
7 Silence difficult
8 Silence difficult
11 Noise difficult
10 Noise difficult
12 Noise difficult
25 Silence easy
26 Silence easy
14 Mandarin easy
13 Mandarin easy
15 Mandarin easy
17 English easy
18 English easy
16 English easy
20 Silence easy
21 Silence easy
19 Silence easy
22 Noise easy
23 Noise easy
24 Noise easy
