item sound diff mask
25 Silence easy yes
26 Silence easy no
3 English easy yes
1 English easy yes
4 English easy no
5 English easy yes
6 English easy no
2 English easy no
7 Silence easy yes
9 Silence easy yes
8 Silence easy no
11 Silence easy yes
10 Silence easy no
12 Silence easy no
27 Silence difficult yes
28 Silence difficult no
16 English difficult no
15 English difficult yes
13 English difficult yes
14 English difficult no
18 English difficult no
17 English difficult yes
20 Silence difficult no
23 Silence difficult yes
24 Silence difficult no
19 Silence difficult yes
22 Silence difficult no
21 Silence difficult yes
